Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
1100,137,58.9,5.9,11.8,3,2,4.9,1.6,0,5.9,5.9,0.1,0,0,0,0,0,0,148
1100,137,64.3,6,6,3,2,5,2,0,5.6,6,0.1,0,0,0,0,0,0,416
1100,137,59.9,6,12,3,2,5,0,0,6,6,0.1,0,0,0,0,0,0,210
1100,137,64.9,6,6,3,3,5,0,0,6,6,0.1,0,0,0,0,0,0,275
1100,137,59.2,5.8,5.8,2.9,3.9,4.9,6,0,5.6,5.8,0.1,0,0,0,0,0,0,1070
1100,120,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,910
1100,137,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,200
1100,150,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,122
1100,174,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,82
1100,150,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,105.5
1100,150,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,109.8
1100,150,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,103.1
1010,248,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,11.5
1010,248,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,13.75
1010,248,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,18.1
982,248,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,40.3
982,248,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,50.5
982,248,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,52.15
850,586,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,15.2
850,586,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,25.05
850,586,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,52.8
850,586,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,229.4
850,586,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,275.1
850,586,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,283.9
1010,248,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,160.55
1010,248,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,164.55
1010,248,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,167.4
760,840,63.8,5.2,6.5,7.8,2,0,0,1.1,7.9,5.7,0,0,0,0,0,0,0,164.9
760,840,68,5.8,0,4,4,3,4,0,6,5,0.1,0,0.1,0,0,0,0,143
760,840,70.3,6,0,4,1,4,4,0.5,5,5,0.1,0,0.1,0,0,0,0,2029
760,840,69.65,5.78,1.75,2,0.4,6.5,0,0.24,8.2,5.4,0,0.08,0,0,0,0,0,202
760,840,57.1,6,12.5,4.5,1.1,5.35,0,0,7.5,5.75,0.15,0,0,0.05,0,0,0,70
1100,160,66.4,5.2,8.5,3.8,1.5,1.6,0,0,6,7,0,0,0,0,0,0,0,62
1100,200,66.4,5.2,8.5,3.8,1.5,1.6,0,0,6,7,0,0,0,0,0,0,0,16.8
1100,90,63.73,5.4,7.65,3.02,0,6.1,0,0,6.78,5.75,1.12,0.35,0,0.1,0,0,0,354
1038,138,63.73,5.4,7.65,3.02,0,6.1,0,0,6.78,5.75,1.12,0.35,0,0.1,0,0,0,424
1038,170,63.73,5.4,7.65,3.02,0,6.1,0,0,6.78,5.75,1.12,0.35,0,0.1,0,0,0,72
982,240,63.73,5.4,7.65,3.02,0,6.1,0,0,6.78,5.75,1.12,0.35,0,0.1,0,0,0,130
850,850,63.73,5.4,7.65,3.02,0,6.1,0,0,6.78,5.75,1.12,0.35,0,0.1,0,0,0,232
1100,90,60.86,5.5,7.62,3,0,6.08,3.2,0,6.45,5.74,1.11,0.34,0,0.1,0,0,0,655
1038,138,60.86,5.5,7.62,3,0,6.08,3.2,0,6.45,5.74,1.11,0.34,0,0.1,0,0,0,550
1038,170,60.86,5.5,7.62,3,0,6.08,3.2,0,6.45,5.74,1.11,0.34,0,0.1,0,0,0,219
982,240,60.86,5.5,7.62,3,0,6.08,3.2,0,6.45,5.74,1.11,0.34,0,0.1,0,0,0,266
850,850,60.86,5.5,7.62,3,0,6.08,3.2,0,6.45,5.74,1.11,0.34,0,0.1,0,0,0,517
1000,310,57,6,12,5,5,5,0,0,5,5,0,0,0,0,0,0,0,79
1000,310,54,6,12,5,5,5,3,0,5,5,0,0,0,0,0,0,0,120
1100,150,57,6,12,5,5,5,0,0,5,5,0,0,0,0,0,0,0,156
1100,150,54,6,12,5,5,5,3,0,5,5,0,0,0,0,0,0,0,209
1100,125,63.3,6,4.6,7,4.6,3,0,0,6.6,4.6,0.2,0,0,0.1,0,0,0,200
1100,115,63.3,6,4.6,7,4.6,3,0,0,6.6,4.6,0.2,0,0,0.1,0,0,0,392
1100,100,63.3,6,4.6,7,4.6,3,0,0,6.6,4.6,0.2,0,0,0.1,0,0,0,1090
1070,140,63.3,6,4.6,7,4.6,3,0,0,6.6,4.6,0.2,0,0,0.1,0,0,0,125
1070,120,63.3,6,4.6,7,4.6,3,0,0,6.6,4.6,0.2,0,0,0.1,0,0,0,437
